Order_ID,Order_Date,Customer_Name,Region,Product,Category,Quantity,Price,Sales
1,9/2/2023,Customer_24,East,Headphones,Electronics,3,10000,30000
2,7/17/2023,Customer_27,East,Monitor,Accessories,4,5000,20000
3,12/21/2023,Customer_31,East,Monitor,Accessories,3,1000,3000
4,11/23/2023,Customer_32,south,Headphones,Electronics,3,10000,30000
5,8/16/2023,Customer_12,East,laptop,Electronics,2,10000,20000
6,3/8/2023,Customer_29,south,Phone,Electronics,3,30000,90000
7,3/8/2023,Customer_12,South,laptop,Electronics,3,10000,30000
8,5/8/2023,Customer_33,West,Laptop,Accessories,3,10000,30000
9,9/1/2023,Customer_7,East,Monitor,Electronics,3,5000,15000
10,4/11/2023,Customer_35,East,Monitor,Accessories,5,10000,50000
11,4/11/2023,Customer_13,south,laptop,Electronics,4,1000,4000
12,3/23/2023,Customer_50,East,Tablet,Electronics,3,1000,3000
13,3/23/2023,Customer_8,West,Phone,Electronics,3,30000,90000
14,8/25/2023,Customer_35,North,Monitor,Accessories,5,10000,50000
15,4/30/2023,Customer_2,East,laptop,Accessories,5,20000,100000
16,4/30/2023,Customer_2,North,laptop,Electronics,2,10000,20000
18,4/5/2023,Customer_33,East,Monitor,Electronics,3,1000,3000
19,5/20/2023,Customer_35,south,Laptop,Electronics,1,10000,10000
20,5/20/2023,Customer_35,south,Headphones,Electronics,1,5000,5000
21,5/20/2023,Customer_44,East,Laptop,Electronics,3,1000,3000
22,8/11/2023,Customer_1,East,Monitor,Electronics,2,20000,40000
23,5/16/2023,Customer_35,south,Monitor,Electronics,1,10000,10000
24,1/11/2023,Customer_41,East,Monitor,Electronics,3,10000,30000
25,7/18/2023,Customer_38,south,Tablet,Accessories,2,1000,2000
26,9/5/2023,Customer_44,East,Tablet,Accessories,3,20000,60000
27,11/21/2023,Customer_46,South,Phone,Electronics,2,10000,20000
28,8/3/2023,Customer_24,West,Phone,Accessories,2,10000,20000
29,2/10/2023,Customer_46,South,Headphones,Electronics,3,5000,15000
30,3/16/2023,Customer_36,South,laptop,Electronics,2,10000,20000
31,3/30/2023,Customer_35,North,Monitor,Electronics,3,30000,90000
32,12/16/2023,Customer_19,south,Monitor,Electronics,4,10000,40000
33,10/20/2023,Customer_38,South,Tablet,Electronics,3,10000,30000
34,12/6/2023,Customer_27,East,Laptop,Electronics,3,10000,30000
35,10/26/2023,Customer_20,East,Laptop,Electronics,1,1000,1000
36,2/18/2023,Customer_35,East,Headphones,Accessories,3,1000,3000
37,8/29/2023,Customer_4,South,Headphones,Electronics,4,10000,40000
38,8/5/2023,Customer_41,North,Monitor,Electronics,2,10000,20000
39,4/17/2023,Customer_12,North,Monitor,Electronics,3,30000,90000
40,1/22/2023,Customer_4,East,Phone,Electronics,3,10000,30000
41,3/19/2023,Customer_31,West,Tablet,Electronics,3,10000,30000
42,12/6/2023,Customer_38,South,Monitor,Electronics,2,10000,20000
43,1/10/2023,Customer_34,East,Monitor,Electronics,2,5000,10000
44,6/9/2023,Customer_5,East,laptop,Electronics,3,5000,15000
45,10/4/2023,Customer_32,South,Headphones,Electronics,3,5000,15000
46,2/10/2023,Customer_42,North,Tablet,Electronics,5,20000,100000
47,6/6/2023,Customer_37,West,Monitor,Accessories,3,10000,30000
48,1/17/2023,Customer_25,South,Tablet,Accessories,5,10000,50000
49,4/10/2023,Customer_15,East,Monitor,Accessories,3,10000,30000
50,4/20/2023,Customer_48,East,Laptop,Electronics,1,10000,10000
51,6/25/2023,Customer_28,south,Monitor,Electronics,3,1000,3000
52,3/22/2023,Customer_42,South,Laptop,Electronics,5,1000,5000
53,12/28/2023,Customer_35,West,Monitor,Electronics,1,10000,10000
54,3/16/2023,Customer_39,West,Monitor,Accessories,1,10000,10000
55,5/31/2023,Customer_19,East,Laptop,Electronics,2,30000,60000
56,4/9/2023,Customer_38,East,Tablet,Accessories,3,1000,3000
57,11/9/2023,Customer_11,South,laptop,Accessories,2,30000,60000
58,9/25/2023,Customer_40,south,Monitor,Accessories,1,5000,5000
59,2/10/2023,Customer_9,East,Monitor,Electronics,5,10000,50000
60,5/2/2023,Customer_45,East,laptop,Electronics,4,5000,20000
61,3/10/2023,Customer_21,East,Headphones,Accessories,2,30000,60000
62,12/19/2023,Customer_40,East,Phone,Electronics,4,10000,40000
63,4/9/2023,Customer_37,South,Headphones,Electronics,4,10000,40000
64,4/9/2023,Customer_32,East,Tablet,Electronics,3,20000,60000
65,4/28/2023,Customer_14,East,Monitor,Accessories,5,10000,50000
66,11/20/2023,Customer_42,south,laptop,Electronics,3,30000,90000
67,12/19/2023,Customer_13,North,Laptop,Electronics,3,10000,30000
68,9/3/2023,Customer_45,south,Tablet,Electronics,3,20000,60000
69,8/16/2023,Customer_48,East,Phone,Electronics,2,20000,40000
70,9/24/2023,Customer_28,East,Laptop,Electronics,4,10000,40000
71,1/7/2023,Customer_15,East,laptop,Accessories,4,20000,80000
